System ID,DOI,Latest Version,PMCID,PMID,Pub Year,Publication Date,Publication Types,Source,Peer_Review,Title,Cleaned_Abs,Lenght_Abs,Condition,Total Citations,Journal Name,Visualization Categories,influence_score,popularity_alt_score,popularity_score,influence_alt_score,tweets_count,Data_origin,Task_(primary),Modality
10.1101/2020.03.26.20044610,10.1101/2020.03.26.20044610,Yes,,,2020,2020-03-31,Preprint,medRxiv,0,the diagnostic evaluation of convolutional neural network (cnn) for the assessment of chest x-ray of patients infected with covid-19,"The main target of COVID-19 is the lungs where it may cause pneumonia in severely ill patients. Chest X-ray is an important diagnostic test to assess the lung for the damaging effects of COVID-19. Many other microbial pathogens can also cause damage to lungs leading to pneumonia but there are certain radiological features which can favor the diagnosis of pneumonia caused by COVID-19. With the rising number of cases of COVID-19, it would be imperative to develop computer programs which may assist the health professionals in the prevailing scenario. A total of two hundred and seventy eight images of chest X-rays have been assessed by applying ResNet-50 convolutional neural network architectures in the present study. The digital images were acquired from the public repositories provided by University of Montreal and National Institutes of Health. These digital images of Chest X-rays were divided into three groups labeled as normal, pneumonia and COVID-19. The third group contains digital images of chest X-rays of patients diagnosed with COVID-19 infection while the second group contains images of lung with pneumonia caused by other pathogens. The radiological images included in the data set are 89 images of lungs with COVID-19 infection, 93 images of lungs without any radiological abnormality and 96 images of patient with pneumonia caused by other pathogens. In this data set, 80% of the images were employed for training, and 20% for testing. A pre-trained (on ImageNet data set) ResNet-50 architecture was used to diagnose the cases of COVID-19 infections on lung X-ray images. The analysis of the data revealed that computer vision based program achieved diagnostic accuracy of 98.18 %, and F1-score of 98.19. The performance of convolutional neural network regarding the differentiation of pulmonary changes caused by COVID-19 from the other type of pneumonias on digital images of the chest X-rays is excellent and it may be an extremely useful adjunct tool for the health professionals.",316,COVID-19;Infections;Pneumonia,,,Diagnostic Tests;Architecture;COVID-19 Testing,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.03.28.20046045,10.1101/2020.03.28.20046045,Yes,,,2020,2020-03-30,Preprint,medRxiv,0,deep learning-based recognizing covid-19 and other common infectious diseases of the lung by chest ct scan images,"COVID-19 has become global threaten. CT acts as an important method of diagnosis. However, human-based interpretation of CT imaging is time consuming. More than that, substantial inter-observer-variation cannot be ignored. We aim at developing a diagnostic tool for artificial intelligence (AI)-based classification of CT images for recognizing COVID-19 and other common infectious diseases of the lung. In this study, images were retrospectively collected and prospectively analyzed using machine learning. CT scan images of the lung that show or do not show COVID-19 were used to train and validate a classification framework based on convolutional neural network. Five conditions including COVID-19 pneumonia, non-COVID-19 viral pneumonia, bacterial pneumonia, pulmonary tuberculosis, and normal lung were evaluated. Training and validation set of images were collected from Wuhan Jin Yin-Tan Hospital whereas test set of images were collected from Zhongshan Hospital Xiamen University and the fifth Hospital of Wuhan. Accuracy, sensitivity, and specificity of the AI framework were reported. For test dataset, accuracies for recognizing normal lung, COVID-19 pneumonia, non-COVID-19 viral pneumonia, bacterial pneumonia, and pulmonary tuberculosis were 99.4%, 98.8%, 98.5%, 98.3%, and 98.6%, respectively. For the test dataset, accuracy, sensitivity, specificity, PPV, and NPV of recognizing COVID-19 were 98.8%, 98.2%, 98.9%, 94.5%, and 99.7%, respectively. The performance of the proposed AI framework has excellent performance of recognizing COVID-19 and other common infectious diseases of the lung, which also has balanced sensitivity and specificity.",229,"COVID-19;Communicable Diseases;Pneumonia;Pneumonia, Bacterial;Pneumonia, Viral;Tuberculosis, Pulmonary",,,Other Topics,,,,,,Self-recorded/clinical,2. Detection/Diagnosis,CT
10.1101/2020.04.13.20063461,10.1101/2020.04.13.20063461,Yes,,,2020,2020-04-17,Preprint,medRxiv,0,accurate prediction of covid-19 using chest x-ray images through deep feature learning model with smote and machine learning classifiers,"According to the World Health Organization (WHO), the coronavirus (COVID-19) pandemic is putting even the best healthcare systems across the world under tremendous pressure. The early detection of this type of virus will help in relieving the pressure of the healthcare systems. Chest X-rays has been playing a crucial role in the diagnosis of diseases like Pneumonia. As COVID-19 is a type of influenza, it is possible to diagnose using this imaging technique. With rapid development in the area of Machine Learning (ML) and Deep learning, there had been intelligent systems to classify between Pneumonia and Normal patients. This paper proposes the machine learning-based classification of the extracted deep feature using ResNet152 with COVID-19 and Pneumonia patients on chest X-ray images. SMOTE is used for balancing the imbalanced data points of COVID-19 and Normal patients. This non-invasive and early prediction of novel coronavirus (COVID-19) by analyzing chest X-rays can further be used to predict the spread of the virus in asymptomatic patients. The model is achieving an accuracy of 0.973 on Random Forest and 0.977 using XGBoost predictive classifiers. The establishment of such an approach will be useful to predict the outbreak early, which in turn can aid to control it effectively.",202,"COVID-19;COVID-19 Pandemic;Influenza, Human;Pneumonia",,,World Health Organization;Health Care;Disease Outbreaks;Random Forest,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.04.13.20063479,10.1101/2020.04.13.20063479,Yes,,,2020,2020-04-17,Preprint,medRxiv,0,machine learning analysis of chest ct scan images as a complementary digital test of coronavirus (covid-19) patients,"This paper reports on the development and performance of machine learning schemes for the analysis of Chest CT Scan images of Coronavirus COVID-19 patients and demonstrates significant success in efficiently and automatically testing for COVID-19 infection. In particular, an innovative frequency domain algorithm, to be called FFT-Gabor scheme, will be shown to predict in almost real-time the state of the patient with an average accuracy of 95.37%, sensitivity 95.99% and specificity 94.76%. The FFT-Gabor scheme is adequately informative in that clinicians can visually examine the FFT-Gabor feature to support their final diagnostic.The proposed FFT-Gabor scheme is an automatic machine learning scheme that works in real time and achieves significantly high accuracy with very low false negative, and can provide supporting evidences of the predicted decision by visually displaying the final features upon which decision is made. This scheme will be most beneficial when used in addition to the RT-PCR swab test of non-symptomatic cases.",154,COVID-19;Infections,,,Coronavirus Infections;Polymerase Chain Reaction,,,,,,External,2. Detection/Diagnosis,CT
10.1101/2020.04.14.20065722,10.1101/2020.04.14.20065722,Yes,,,2020,2020-04-17,Preprint,medRxiv,0,coronet: a deep network architecture for semi-supervised task-based identification of covid-19 from chest x-ray images,"In late 2019, a new Coronavirus disease, referred to as Corona virus disease 2019 (COVID-19), emerged in Wuhan city, Hubei, China, and resulted in a global pandemic, claiming a large number of lives and affecting billions all around the world. The current global standard used in diagnosis of COVID-19 in suspected cases is the real-time polymerase chain reaction (RT-PCR) test. Although the RT-PCR remains the standard reference for diagnosis purposes, it is a time-consuming and expensive test, and moreover, it usually suffers from high rates of false-negatives. Several early works have reported that the sensitivity of the chest Computed Tomography (CT) and the chest X-ray imaging are noticeably greater than that of the RT-PCR test at the initial representations of the disease, making them great candidates for developing new and sophisticated methodologies for analysis and classification of COVID-19 cases. In this paper, we establish the use of a rapid, non-invasive and cost-effective X-ray-based method as a key diagnosis and screening tool for COVID-19 at early and intermediate stages of the disease. To this end, we develop a novel and sophisticated deep learning-based signal and image processing technique as well as classification methodology for analyzing X-ray images specific to COVID-19 disease. Specifically, we consider a semi-supervised learning methodology based on AutoEncoders to first extract the infected legions in chest X-ray manifestation of COVID-19 and other Pneumonia-like diseases (as well as healthy cases). Then, we utilize this highly-tailored deep architecture to extract the relevant features specific to each class (i.e., healthy, non-COVID pneumonia, and COVID-19) and train a powerful yet efficient classifier to perform the task of automatic diagnosis. Furthermore, the semi-supervised nature of the proposed framework enables us to efficiently exploit the limited available dataset on COVID-19 while exploiting the vast amount of available X-ray dataset for healthy and non-COVID classes. Moreover, such a semi-supervised approach does not require an expert-annotated lesion area for each class. Our numerical investigations demonstrate that the proposed framework outperforms the state-of-the-art methods for COVID-19 identification while employing approximately ten times fewer training parameters as compared to other existing methodologies for classification of the COVID-19 from X-ray images (facilitating efficient training in a limited data regime). We further develop explainable artificial intelligence tools that can explain the diagnosis by using attribution maps while providing an indispensable tool for the radiologist in triage state. We have made the codes of our proposed framework publicly available to the research and healthcare community1.",404,COVID-19;Pneumonia;Virus Diseases,,,Semi-supervised Learning;Art;Health Care;Architecture;Health;Polymerase Chain Reaction;Tomography;Other Topics;Real-Time Polymerase Chain Reaction;Map,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.04.21.20072637,10.1101/2020.04.21.20072637,Yes,,,2020,2020-04-25,Preprint,medRxiv,0,research on cnn-based models optimized by genetic algorithm and application in the diagnosis of pneumonia and covid-19,"In this research, an optimized deep learning method was proposed to explore the possibility and practicality of neural network applications in medical imaging. The method was used to achieve the goal of judging common pneumonia and even COVID-19 more effectively. Where, the genetic algorithm was taken advantage to optimize the Dropout module, which is essential in neural networks so as to improve the performance of typical neural network models. The experiment results demonstrate that the proposed method shows excellent performance and strong practicability in judging pneumonia, and the application of advanced artificial intelligence technology in the field of medical imaging has broad prospects.",103,COVID-19;Pneumonia,,,Neural Networks;Other Topics,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.04.24.20078998,10.1101/2020.04.24.20078998,Yes,,,2020,2020-05-03,Preprint,medRxiv,0,automated diagnosis of covid-19 using deep learning and data augmentation on chest ct,"Coronavirus disease 2019 (COVID-19) has surprised the world since the beginning of 2020, and the rapid growth of COVID-19 is beyond the capability of doctors and hospitals that could deal in many areas. The chest computed tomography (CT) could be served as an effective tool in detection of COVID-19. It is valuable to develop automatic detection of COVID-19. The collected dataset consisted of 1042 chest CT images (including 521 COVID-19, 397 healthy, 76 bacterial pneumonia and 48 SARS) obtained by exhaustively searching available data on the Internet. Then, these data are divided into three sets, referred to training set, validation set and testing set. Sixteen data augmentation operations are designed to enrich the training set in deep learning training phase. Multiple experiments were conducted to analyze the performance of the model in the detection of COVID-19 both in case of no noisy labels and noisy labels. The performance was assessed by the AUC, sensitivity, specificity and accuracy. The data augmentation operations on the training set are effective for improvement of the model performance. The AUC is 0.9689 with in case of no noisy labels for the classification of COVID-19 from heathy subject, while the per-exam sensitivity, specificity and accuracy for detecting COVID-19 in the independent testing set are 90.52%, 91.58% and 91.21%, respectively. In the classification of COVID-19 from other hybrid cases, the average AUC of the proposed model is 0.9222 with if there are no noisy labels. The model is also robust when part of the training samples is marked incorrectly. The average AUC is 92.23% in the case of noisy labels of 10% in the training set. A deep learning model with insufficient samples can be developed by using data augmentation in assisting medical workers in making quick and correct diagnosis of COVID-19.",295,"COVID-19;Pneumonia, Bacterial",,,Other Topics,,,,,,External,2. Detection/Diagnosis,CT
10.1101/2020.04.27.20081984,10.1101/2020.04.27.20081984,Yes,,,2020,2020-05-03,Preprint,medRxiv,0,distinguishing l and h phenotypes of covid-19 using a single x-ray image,"Recent observations have shown that there are two types of COVID-19 response: an H phenotype with high lung elastance and weight, and an L phenotype with low measures1. H-type patients have pneumonia-like thickening of the lungs and require ventilation to survive; L-type patients have clearer lungs that may be injured by mechanical assistance2,3. As treatment protocols differ between the two types, and the number of ventilators is limited, it is vital to classify patients appropriately. To date, the only way to confirm phenotypes is through high-resolution computed tomography2. Here, we identify L- and H-type patients from their frontal chest x-rays using feature-embedded machine learning. We then apply the categorization to multiple images from the same patient, extending it to detect and monitor disease progression and recovery. The results give an immediate criterion for coronavirus triage and provide a methodology for respiratory diseases beyond COVID-19.",144,COVID-19;Disease Progression;Pneumonia;Respiratory Tract Diseases,,,Other Topics,,,,,,External,4. Prognosis/Treatment,X-Ray
10.1101/2020.04.28.20082776,10.1101/2020.04.28.20082776,Yes,,,2020,2020-05-01,Preprint,medRxiv,0,curbing the ai-induced enthusiasm in diagnosing covid-19 on chest x-rays: the present and the near-future,"In the current context of COVID-19 pandemic, a rapid and accessible screening tool based on image processing of chest X-rays (CXRs) using machine learning (ML) approaches would be much needed. Initially, we intended to create and validate an ML software solution able to discriminate on the basis of the CXR between SARS-CoV-2-induced bronchopneumonia and other bronchopneumonia etiologies. A systematic search of PubMed, Scopus and arXiv databases using the following search terms, AND AND found 14 recent studies. Most of them declared to be able to confidently identify COVID-19 based on CXRs using deep neural networks. Firstly, weaknesses of artificial intelligence (AI) solutions were analyzed, tackling the issues with datasets (from both medical and technical points of view) and the vulnerability of used algorithms. Then, arguments were provided for why our study design is stronger and more realistic than the previously quoted papers, balancing the possible false expectations with facts. The authors consider that the potential of AI use in COVID-19 diagnosis on CXR is real. However, scientific community should be careful in interpreting statements, results and conclusions regarding AI use in imaging. It is therefore necessary to adopt standards for research and publication of data, because it seems that in the recent months scientific reality suffered manipulations and distortions. Also, a call for responsible approaches to the imaging methods in COVID-19 is raised. It seems mandatory to follow some rigorous approaches in order to provide with adequate results in daily routine. In addition, the authors intended to raise public awareness about the quality of AI protocols and algorithms and to encourage public sharing of as many CXR images with common quality standards.",272,Bronchopneumonia;COVID-19;COVID-19 Pandemic,,,Other Topics,,,,,,,Review,X-Ray
10.1101/2020.05.01.20086207,10.1101/2020.05.01.20086207,Yes,,,2020,2020-05-05,Preprint,medRxiv,0,tracking and predicting covid-19 radiological trajectory using deep learning on chest x-rays: initial accuracy testing,"Decision scores and ethically mindful algorithms are being established to adjudicate mechanical ventilation in the context of potential resources shortage due to the current onslaught of COVID-19 cases. There is a need for a reproducible and objective method to provide quantitative information for those scores. Towards this goal, we present a retrospective study testing the ability of a deep learning algorithm at extracting features from chest x-rays (CXR) to track and predict radiological evolution. We trained a repurposed deep learning algorithm on the CheXnet open dataset (224,316 chest X-ray images of 65,240 unique patients) to extract features that mapped to radiological labels. We collected CXRs of COVID-19-positive patients from two open-source datasets (last accessed on April 9, 2020)(Italian Society for Medical and Interventional Radiology and MILA). Data collected form 60 pairs of sequential CXRs from 40 COVID patients (mean age ± standard deviation: 56 years; 23 men, 10 women, seven not reported) and were categorized in three categories: “Worse”, “Stable”, or “Improved” on the basis of radiological evolution ascertained from images and reports. Receiver operating characteristic analyses, Mann-Whitney tests were performed. On patients from the CheXnet dataset, the AUC ranged from 0.71 to 0.93 for seven imaging features and one diagnosis. Deep learning features between “Worse” and “Improved” outcome categories were significantly different for three radiological signs and one diagnostic (“Consolidation”, “Lung Lesion”, “Pleural effusion” and “Pneumonia”; all P < 0.05). Features from the first CXR of each pair could correctly predict the outcome category between “Worse” and “Improved” cases with 82.7% accuracy. CXR deep learning features show promise for classifying the disease trajectory. Once validated in studies incorporating clinical data and with larger sample sizes, this information may be considered to inform triage decisions.",285,COVID-19;Pleural Effusion;Pneumonia,,,Algorithms;ROC Curve;Ventilation;Retrospective Studies;Lung Diseases;Receiver Operating Characteristic,,,,,,External,2. Detection/Diagnosis,X-Ray
