,[CLS],[SEP],AVG
BERT base,0.3859968671679198,0.4327935463659148,0.4993959899749373
SciBERT,0.4389501879699248,0.4104862155388472,0.48169392230576447
BioBERT Base,0.3597631578947368,0.5264094611528821,0.462406954887218
PubMedBERT,0.42865288220551373,0.586078007518797,0.501062343358396
COVID BERT,0.4297960526315789,0.3759439223057644,0.44923997493734336
COVID SciBERT,0.49942199248120306,0.47883145363408514,0.5058847117794487
ClinicalCovidBERT,0.5317593984962407,0.5075698621553884,0.49570520050125316
RadBERT,0.3797280701754385,0.3797280701754385,0.3965429197994988
SPECTER,0.7531588345864663,0.7669091478696741,0.5777427944862155
SPECTER CLF,0.6882985588972431,0.6782446741854637,0.5447130325814536
SPECTER PRX,0.7591281328320802,0.7610097117794485,0.5340516917293232
BERT large,0.34663815789473684,0.43444486215538847,0.44757456140350876
BioBERT Large,0.3984855889724311,0.47237374686716793,0.5128609022556392
PubMedBERT large,0.4032462406015037,0.44154667919799495,0.4525018796992481
BioCovidBERT,0.5384586466165413,0.48975438596491233,0.5828314536340853
