,[CLS],[SEP],AVG
BERT base,0.2702160138248848,0.28422331029185866,0.3385032642089094
SciBERT,0.3332229262672811,0.3147407834101382,0.3834110983102919
BioBERT Base,0.2863565668202765,0.4050182411674347,0.4018922811059908
PubMedBERT,0.347400153609831,0.4233342933947773,0.36882872503840247
COVID BERT,0.33707373271889407,0.258948732718894,0.3439324116743471
COVID SciBERT,0.4232334869431643,0.42403705837173583,0.451490975422427
ClinicalCovidBERT,0.43571812596006143,0.4668500384024578,0.40906586021505376
RadBERT,0.26484062980030726,0.26484062980030726,0.26360503072196617
SPECTER,0.5648723118279569,0.5588901689708141,0.514529569892473
SPECTER CLF,0.44418778801843317,0.41704493087557604,0.40412826420890935
SPECTER PRX,0.5465552995391705,0.534232910906298,0.49594374039938566
BERT large,0.2621351766513057,0.34002208141321044,0.38459005376344085
BioBERT Large,0.2866849078341014,0.3768788402457758,0.35954205069124423
PubMedBERT large,0.3000182411674347,0.361178955453149,0.38373847926267285
BioCovidBERT,0.370214093701997,0.39548003072196625,0.42475134408602144
